URL,Name,Year,Time,Rating,Genre,Director,Stars
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Spider-Man: Homecoming,2017,133 min,PG-13,"Action, Adventure, Sci-Fi",Jon Watts,"Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Guardians of the Galaxy Vol. 2,2017,136 min,PG-13,"Action, Adventure, Comedy",James Gunn,"Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Justice League,2017,120 min,PG-13,"Action, Adventure, Fantasy",Zack Snyder,"Ben Affleck,Gal Gadot,Jason Momoa,Ezra Miller"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Robin Hood,2018,116 min,PG-13,"Action, Adventure, Thriller",Otto Bathurst,"Taron Egerton,Jamie Foxx,Ben Mendelsohn,Eve Hewson"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",The Matrix,1999,136 min,R,"Action, Sci-Fi",Lana Wachowski,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",The Avengers,2012,143 min,PG-13,"Action, Adventure, Sci-Fi",Joss Whedon,"Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Pokémon Detective Pikachu,2019,104 min,PG,"Action, Adventure, Comedy",Rob Letterman,"Ryan Reynolds,Kathryn Newton,Suki Waterhouse,Rob Delaney"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Thor: The Dark World,2013,112 min,PG-13,"Action, Adventure, Fantasy",Alan Taylor,"Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Jurassic World: Fallen Kingdom,2018,128 min,PG-13,"Action, Adventure, Sci-Fi",J.A. Bayona,"Chris Pratt,Bryce Dallas Howard,Rafe Spall,Justice Smith"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),2020,,,"Action, Adventure, Crime",Cathy Yan,"Margot Robbie,Mary Elizabeth Winstead,Ewan McGregor,Jurnee Smollett-Bell"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Avengers: Age of Ultron,2015,141 min,PG-13,"Action, Adventure, Sci-Fi",Joss Whedon,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Star Wars: The Rise of Skywalker,2019,,,"Action, Adventure, Fantasy",J.J. Abrams,"Lupita Nyong'o,Mark Hamill,Oscar Isaac,Adam Driver"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Ant-Man and the Wasp,2018,118 min,PG-13,"Action, Adventure, Comedy",Peyton Reed,"Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Captain America: The First Avenger,2011,124 min,PG-13,"Action, Adventure, Sci-Fi",Joe Johnston,"Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Overlord,2018,110 min,R,"Action, Adventure, Horror",Julius Avery,"Jovan Adepo,Wyatt Russell,Mathilde Ollivier,Pilou Asbæk"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Polar,2019,118 min,TV-MA,"Action, Crime, Drama",Jonas Åkerlund,"Mads Mikkelsen,Vanessa Hudgens,Katheryn Winnick,Fei Ren"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Ready Player One,2018,140 min,PG-13,"Action, Adventure, Sci-Fi",Steven Spielberg,"Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Lena Waithe"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Skyscraper,2018,102 min,PG-13,"Action, Adventure, Thriller",Rawson Marshall Thurber,"Dwayne Johnson,Neve Campbell,Chin Han,Roland Møller"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Baywatch,2017,116 min,R,"Action, Comedy, Crime",Seth Gordon,"Dwayne Johnson,Zac Efron,Alexandra Daddario,Priyanka Chopra"
