URL,Name,Stars,Year,Time,Rating,Genre,Director
https://www.rottentomatoes.com/m/butchers_son,butchers son,"Manny Perez,Denise Quinones,Juan Fernández,Paul Calderon,Hemky Madera,Alfonso Rodríguez,Joseph Lyle Taylor,Margo Martindale,Fantino Fernandez,Leslie Cepeda,Diego Rafael Sanchez,Miguel Ángel Martínez,Jean Johnny,Gerpis &#39;Shino&#39; Correa,Danilo Rodriguez,Sharlene Taulé,Johanny Sosa,Celinés Toribio,Nuria Piera,Jose Perez,Ulysses Terrero,Anais Martinez,Anibal O. Leras,Anibal O. Lleras,Henry Santos Jeter,Coco Cabrera,Sixta Morel,Yuri Martinez,Jalsen Santana,Anthony Marte,Pachy Méndez,Mery Collado,Carmen Brugal,Elvira Grullon,Robinson Aybar,Joshua Lucero,Pedro Cruzmonty,Ericson Batista,Ramona Liriano,Cleotilde Tavarez,Gilberto Tejada,Nelson Baez,Gerardo Mercedes,Diogenes Rubio,Yojansel Reyes,M. Patricia Tejada,Guillermo Estrella,Danilo,Fernando Luna,Danny Lebron,Janet Gonzalez,Carmen Fernandez","Aug 13, 2010",103 minutes,"R (for violence, language and brief nudity)","Action & Adventure,Art House & International,Drama",Josh Crook
https://www.rottentomatoes.com/m/13_assassins_2011,13 assassins 2011,"Koji Yakusho,Takayuki Yamada,Yusuke Iseya,Goro Inagaki,Masachika Ichimura,Mikijiro Hira,Hiroki Matsukata,Ikki Sawamura,Arata Furuta,Tsuyoshi Ihara,Masataka Kubota,Sousuke Takaoka,Seiji Rokkaku,Kouen Kondo,Yuma Ishigaki,Kazuki Namioka,Kazue Fukiishi,Koshiro Matsumoto,Mitsuki Tanimura,Takumi Saito,Shinnosuke Abe,Masaaki Uchino,Ken Mitsuishi,Ittoku Kishibe","Apr 29, 2011",126 minutes,"R (for sequences of bloody violence, some disturbing images and brief nudity)","Action & Adventure,Art House & International",Takashi Miike
https://www.rottentomatoes.com/m/budrus,budrus,"Ayed Morrar,Iltezam Morrar,Kobi Snitz,Yasmine Levy,Ahmed Awwad,Doron Spielman,Riyad Deis","Oct 8, 2010",82 minutes,NR,"Action & Adventure,Art House & International,Documentary,Drama,Special Interest",Julia Bacha
https://www.rottentomatoes.com/m/kill_the_irishman,kill the irishman,"Ray Stevenson,Vincent D&#39;Onofrio,Val Kilmer,Christopher Walken,Linda Cardellini,Tony Darrow,Robert Davi,Fionnula Flanagan,Bob Gunton,Jason Butler Harner,Vinnie Jones,Tony Lo Bianco,Laura Ramsey,Steve Schirripa,Paul Sorvino,Mike Starr,Marcus Thomas,Vinny Vella Sr.,Brian Balzerini,Cody Christian,Dante Wildern,Sean O&#39;Reilly,Vincent Angelini,Grant R. Krause,Jeff Chase,Jim Porterfield,Nina Kircher,Loren Bass,Richard D. Jewell,John Seibert,Greg Trzaskoma,John Hawkinson,Jimmy Doom,Lise Lacasse,Arthur Cartwright,Joey Albright,Walter L. Lindsey,Douglas Minckiewicz,Robert Skrok,Ruth Crawford,Steven M. Goldsmith,Renell White,Jeff Wolfe,John Leo,Al Corley,Michael Ogden,Trevor Callaghan","Mar 11, 2011",106 minutes,"R (for strong violence, language and some sexual content/nudity)","Action & Adventure,Drama,Mystery & Suspense",Jonathan Hensleigh
https://www.rottentomatoes.com/m/yogi_bear_2010,yogi bear 2010,"Dan Aykroyd,Justin Timberlake,Anna Faris,Tom Cavanagh,T.J. Miller,Nathan Corddry,Josh Robert Thompson,Andrew Daly,David Stott,Greg Johnson,Christy Quillam,Patricia Aldersley,Tim McLachlan,Vernon Hayden,Dean Knowsley,Barry Duffield,Michael Morris,William A. Wallace,Will Wallace,Suzana Srpek","Dec 17, 2010",82 minutes,PG,"Action & Adventure,Animation,Comedy,Kids & Family",Eric Brevig
https://www.rottentomatoes.com/m/drive-angry,drive-angry,"Amber Heard,Nicolas Cage,William Fichtner,Timothy Walter","Feb 25, 2011",107 minutes,"R (for strong brutal violence throughout, grisly images, some graphic sexual content, nudity and pervasive language)","Action & Adventure,Mystery & Suspense",Patrick Lussier
https://www.rottentomatoes.com/m/ironclad,ironclad,"James Purefoy,Brian Cox,Derek Jacobi,Paul Giamatti,Kate Mara,Jason Flemyng,Vladimir Kulich,Aneurin Barnard,Guy Siner,MacKenzie Crook,Charles Dance,Jamie Foreman,John Pierce Jones,Rhys Parry Jones,Bree Condon,Daniel O&#39;Meara","Jul 8, 2011",121 minutes,"R (for strong graphic brutal battle sequences, and brief nudity)",Action & Adventure,Jonathan English
https://www.rottentomatoes.com/m/true_grit_2010,true grit 2010,"Hailee Steinfeld,Jeff Bridges,Matt Damon,Josh Brolin,Barry Pepper,Dakin Matthews,Elizabeth Marvel,Jarlath Conroy,Domhnall Gleeson,Paul Rae,Leon Russom,Jarleth Conroy,Roy Lee Jones,Bruce Green,Ed Lee Corbin,Candyce Hinkle,Peter Leung,Don Pirl,Joe Stevens,David Lipman,Jake Walker,Orlando Storm Smart,Ty Mitchell,Nicholas Sadler,Scott Sowers,Jonathan Joss,Maggie Goodman,Brandon Sanderson,Ruben Nakai Campana","Dec 22, 2010",110 minutes,PG-13 (for some intense sequences of western violence including disturbing images),"Action & Adventure,Drama,Western",Joel Coen
https://www.rottentomatoes.com/m/i_am_number_four,i am number four,"Alex Pettyfer,Timothy Olyphant,Teresa Palmer,Dianna Agron,Callan McAuliffe,Kevin Durand,Jake Abel,Jeff Hochendoner,Patrick Sebes,Greg Townley,Reuben Langdon,Emily Wickersham,Molly McGinnis,Brian Howe,Andrew Owen,Sophia Caruso,Charles Carroll,L. Derek Leonidoff,Garrett M. Brown,Sabrina De Matteo,Cooper Thornton,Judith Hoag,Jack Walz,Bill Laing,Beau Mirchoff,Cody Johns,Isabella Robbins","Feb 18, 2011",109 minutes,"PG-13 (for intense sequences of violence and action, and for brief language)","Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy",D.J. Caruso
https://www.rottentomatoes.com/m/mechanic,mechanic,"Jason Statham,Ben Foster,Donald Sutherland,Tony Goldwyn,Mini Anden,Jeff Chase,James Logan,Christa Campbell,Jeffrey Chase,Eddie J. Fernandez,Joshua Bridgewater,John McConnell,Eddie Fernandez,Joel Davis,Mark Anthony Nutter,Ardy Brent Carlson,Lara Grice,Lance E. Nichols,J.D. Evermore,Ada Michelle Loridans,Linzzi Zaorski,Dawn Neufeld,Molly Rosenblatt,Bill Scharpf,John Teague,David Leitch,Jennifer Ortega,LaTeace Towns-Cuellar,Paul Abraham,David Dahlgren,Stuart Greer,Kasia Wolejnio,Larrel France,Danny Cosmo Higginbottom,Derek Schreck,Choop Hunyup","Jan 28, 2011",92 minutes,"R (for strong brutal violence throughout, language, some sexual content and nudity)","Action & Adventure,Drama,Mystery & Suspense",Simon West
https://www.rottentomatoes.com/m/sanctum,sanctum,"Richard Roxburgh,Ioan Gruffudd,Rhys Wakefield,Alice Parkinson,Allison Cratchley,Dan Wylie,Dan Wyllie,Christopher Baker,Nicole Downes,Cramer Cain,Andrew Hansen,John Garvin,Sean Dennehy,Nea Diap","Feb 4, 2011",103 minutes,"R (for language, some violence and disturbing images)","Action & Adventure,Drama,Mystery & Suspense",Alister Grierson
https://www.rottentomatoes.com/m/ip_man_2_legend_of_the_grandmaster,ip man 2 legend of the grandmaster,"Donnie Yen,Sammo Hung Kam-Bo,Louis Fan,Xiong Dailin,Darren Shahlavi,Lynn Hung,Huang Xiaoming,Ming Xiao Huang,Kent Cheng,Pierre Ngo,To Yue-hong,Li Chak,Charles Mayer,Simon Yam,Jiang Daiyan,Lam Hak-Ming,Lo Mang,Calvin Chang,Fung Hak-On,Brian Thomas Burrell,Ashton Chen","Jan 28, 2011",108 minutes,R (for violence),"Action & Adventure,Art House & International,Drama,Sports & Fitness",Wilson Yip
https://www.rottentomatoes.com/m/the_violent_kind_2010,the violent kind 2010,"Bret Roberts,Cory Knauf,David Fine,Christina Prousalis,Joseph McKelheer,Mackenzie Firgens,Nick Tagas,Joe Egender,Taylor Cole,Tiffany Shepis,Samuel Child,Ilea Matthews",,100 minutes,R,"Action & Adventure,Horror",Butcher Brothers
https://www.rottentomatoes.com/m/hobo_with_a_shotgun,hobo with a shotgun,"Rutger Hauer,Gregory Smith,Molly Dunsworth,Brian Downey,Nick Bateman (II),Robb Wells","May 6, 2011",86 minutes,R,Action & Adventure,Jason Eisener
https://www.rottentomatoes.com/m/legend_of_the_fist_the_return_of_chen_zhen,legend of the fist the return of chen zhen,"Donnie Yen,Qi Shu,Anthony Wong,Bo Huang,Kohata Ryuichi,Huo Si Yan,Zhou Yang,Shawn Yu,Yasuaki Kurata,Akira","Apr 22, 2011",113 minutes,"R (adult situations/language, violence)","Action & Adventure,Art House & International,Drama,Mystery & Suspense",Donnie Yen
