,id1,id2
395,155,2073
396,1550,289
397,1550,153
398,1550,192
399,1556,2254
400,1556,2929
401,1559,3012
402,1562,1731
403,1565,1629
404,1565,1496
405,1565,3038
406,1568,914
407,1568,192
408,1571,1645
409,1571,120
410,1574,1542
411,1574,3038
412,1577,2111
413,158,2213
414,158,3087
415,158,29
416,1583,3038
417,1583,1205
418,1598,617
419,1598,675
420,1598,2377
421,1607,805
422,161,44
423,161,679
424,161,1210
425,161,97
426,161,1843
427,161,1469
428,161,1896
429,161,71
430,161,1954
431,161,1429
432,161,26
433,161,579
434,161,178
435,161,1583
436,161,2035
437,161,1348
438,161,1117
439,161,1094
440,161,206
441,161,393
442,161,2208
443,161,2589
444,161,2243
445,161,2832
446,161,2876
447,161,2789
448,161,2452
449,161,2184
450,161,2721
451,161,2649
452,161,2073
453,161,2758
454,161,2160
455,161,2492
456,1610,153
457,1613,2326
458,1619,1871
459,1619,1872
460,1622,3038
461,1622,2387
462,1622,1489
463,1628,995
464,1631,1430
465,1634,2003
466,1634,1957
467,1637,1799
468,1637,1321
469,164,2832
470,164,2721
471,164,1583
472,164,1901
473,164,775
474,164,13
475,164,197
476,164,119
477,1640,1735
478,1643,520
479,1643,1645
480,1643,948
481,1643,1370
482,1643,1560
483,1643,1925
484,1652,1672
485,1661,549
486,167,2035
487,167,1210
488,167,1843
489,167,26
490,167,1348
491,167,1094
492,167,393
493,167,1617
494,167,44
495,167,206
496,167,1117
497,167,181
498,167,1607
499,167,178
500,167,52
501,167,579
502,167,1429
503,167,1954
504,167,1435
505,167,71
506,167,3
507,167,1469
508,167,84
509,167,2649
510,167,2452
511,167,2184
512,167,2697
513,167,2208
514,167,3065
515,167,2243
516,167,2876
517,167,2589
518,167,2492
519,167,2789
520,167,2288
521,167,2073
522,167,2758
523,1670,3002
524,1673,738
525,1685,1205
526,1688,2067
527,1694,1267
528,1697,855
529,1697,838
530,17,492
531,170,680
532,1700,1441
533,1700,1829
534,1700,1691
535,1703,1033
536,1703,3038
537,1703,2921
538,1706,962
539,1706,1645
540,1706,2183
541,1709,1445
542,1724,1629
543,1727,1478
544,173,1348
545,173,1607
546,173,1843
547,173,1617
548,173,1388
549,173,393
550,173,2492
551,173,2697
552,173,2452
553,173,3065
554,173,2556
555,173,2208
556,173,2589
557,173,2758
558,1730,3038
559,1730,1025
560,1733,134
561,1733,323
562,1736,3038
563,1739,562
564,1742,2235
565,1742,883
566,1745,834
567,1748,3038
568,1754,3097
569,176,51
570,176,559
571,176,175
572,176,65
573,1760,1235
574,1769,3038
575,1772,174
576,1784,2375
577,179,1066
578,1790,1235
579,1793,2003
580,1799,1316
581,1802,3038
582,1808,2016
583,1811,2762
584,182,491
585,182,1100
586,1826,3038
587,1826,317
588,1835,168
589,1835,100
590,1841,2995
591,185,340
592,185,52
593,185,241
594,185,2044
595,185,1824
596,185,1617
597,185,2547
598,185,2789
599,185,2467
600,185,2894
601,185,2211
602,1850,2121
603,1850,1856
604,1856,3038
605,1856,838
606,1856,1205
607,1856,1151
608,1856,855
609,1862,2450
610,1862,2571
611,1862,1951
612,1862,1577
613,1868,2114
614,1871,973
615,1871,1441
616,1871,1853
617,1871,2205
618,1871,2079
619,1871,2562
620,1871,2930
621,1874,2023
622,1877,1658
623,188,1357
624,188,1236
625,188,756
626,188,1059
627,1892,3038
628,1898,315
629,1901,2101
630,1907,141
631,1907,431
632,191,1469
633,191,214
634,191,343
635,1913,610
636,1913,1205
637,1919,2450
638,1922,622
639,1925,950
640,1928,575
641,1928,2921
642,1934,2119
643,1937,2620
644,194,943
645,194,1388
646,194,2362
647,194,2474
648,194,2697
649,194,2589
650,194,2467
651,1940,3038
652,1940,1278
653,1940,1205
654,1943,2569
655,1946,973
656,1946,311
657,1949,1114
658,1952,2223
659,1955,431
660,1967,1182
661,197,2467
662,197,2577
663,1970,1554
664,1979,2786
665,1979,2003
666,1982,981
667,1985,431
668,1988,1126
669,1994,753
670,1994,1205
671,1994,610
672,1994,3038
673,2,152
674,2,178
675,2,1037
676,2,177
677,2,1567
678,2,478
679,2,2856
680,2,2228
681,20,2467
682,20,1617
683,20,241
684,200,1094
685,200,1117
686,200,393
687,200,553
688,200,1843
689,200,1210
690,200,71
691,200,2035
692,200,1897
693,200,44
694,200,1348
695,200,26
696,200,1469
697,200,206
698,200,178
699,200,1429
700,200,2589
701,200,2664
702,200,2452
703,200,2073
704,200,2876
705,200,2243
706,200,2789
707,200,2697
708,200,2758
709,200,2492
710,200,2649
711,2012,2003
712,2018,820
713,2024,859
714,2027,980
715,2036,2995
716,2042,1990
717,2042,2257
718,2042,2754
719,2045,2276
